episode_id,policy_tag,win,opening_shape,points,reward
0,flexaggrod,1,3.254,0.0,1.4375
0,flexaggrod,0,2.284,0.0,0.0
0,flexaggrod,0,1.709,0.0,0.0
0,flexaggrod,0,2.769,0.0,-1.4375
1,flexaggrod,0,3.769,0.0,-1.3125
1,flexaggrod,0,3.769,0.0,-1.3125
1,flexaggrod,1,3.254,0.0,3.9375
1,flexaggrod,0,2.7390000000000003,0.0,-1.3125
2,flexaggrod,0,3.0900000000000003,0.0,0.0
2,flexaggrod,1,2.769,0.0,1.4375
2,flexaggrod,0,3.254,0.0,0.0
2,flexaggrod,0,4.09,0.0,-1.4375
3,flexaggrod,1,2.2239999999999998,0.0,1.375
3,flexaggrod,0,5.06,0.0,-1.375
3,flexaggrod,0,3.769,0.0,0.0
3,flexaggrod,0,4.09,0.0,0.0
4,flexaggrod,0,3.254,0.0,-1.4375
4,flexaggrod,1,2.7990000000000004,0.0,1.4375
4,flexaggrod,0,3.254,0.0,0.0
4,flexaggrod,0,2.7990000000000004,0.0,0.0
5,flexaggrod,1,2.7990000000000004,0.0,4.125
5,flexaggrod,0,2.7390000000000003,0.0,-1.375
5,flexaggrod,0,3.254,0.0,-1.375
5,flexaggrod,0,3.769,0.0,-1.375
6,flexaggrod,0,2.7390000000000003,0.0,0.0
6,flexaggrod,0,3.769,0.0,0.0
6,flexaggrod,0,3.12,0.0,0.0
6,flexaggrod,0,2.7990000000000004,0.0,0.0
7,flexaggrod,0,3.769,0.0,-1.3125
7,flexaggrod,1,2.7390000000000003,0.0,3.9375
7,flexaggrod,0,3.769,0.0,-1.3125
7,flexaggrod,0,1.829,0.0,-1.3125
8,flexaggrod,0,2.7990000000000004,0.0,-1.4375
8,flexaggrod,0,4.06,0.0,-1.4375
8,flexaggrod,0,2.7990000000000004,0.0,-1.4375
8,flexaggrod,1,2.7390000000000003,0.0,4.3125
9,flexaggrod,1,2.2239999999999998,0.0,1.4375
9,flexaggrod,0,2.7990000000000004,0.0,0.0
9,flexaggrod,0,3.12,0.0,-1.4375
9,flexaggrod,0,2.769,0.0,0.0
10,flexaggrod,1,2.7990000000000004,0.0,3.9375
10,flexaggrod,0,2.769,0.0,-1.3125
10,flexaggrod,0,5.06,0.0,-1.3125
10,flexaggrod,0,2.769,0.0,-1.3125
11,flexaggrod,0,3.254,0.0,-1.375
11,flexaggrod,0,3.254,0.0,-1.375
11,flexaggrod,1,2.769,0.0,4.125
11,flexaggrod,0,3.06,0.0,-1.375
12,flexaggrod,0,3.254,0.0,0.0
12,flexaggrod,0,4.03,0.0,-1.5625
12,flexaggrod,1,2.254,0.0,1.5625
12,flexaggrod,0,2.284,0.0,0.0
13,flexaggrod,0,3.254,0.0,-1.3125
13,flexaggrod,1,3.12,0.0,3.9375
13,flexaggrod,0,3.769,0.0,-1.3125
13,flexaggrod,0,3.12,0.0,-1.3125
14,flexaggrod,0,2.7990000000000004,0.0,-1.5
14,flexaggrod,0,2.7390000000000003,0.0,-1.5
14,flexaggrod,1,3.769,0.0,4.5
14,flexaggrod,0,2.7990000000000004,0.0,-1.5
15,flexaggrod,1,4.06,0.0,1.375
15,flexaggrod,0,3.254,0.0,0.0
15,flexaggrod,0,4.09,0.0,0.0
15,flexaggrod,0,3.254,0.0,-1.375
16,flexaggrod,0,3.769,0.0,-1.4375
16,flexaggrod,0,3.254,0.0,0.0
16,flexaggrod,1,2.2239999999999998,0.0,1.4375
16,flexaggrod,0,1.254,0.0,0.0
17,flexaggrod,0,3.254,0.0,-1.5
17,flexaggrod,1,4.06,0.0,4.5
17,flexaggrod,0,3.254,0.0,-1.5
17,flexaggrod,0,3.254,0.0,-1.5
18,flexaggrod,0,4.06,0.0,0.0
18,flexaggrod,1,3.254,0.0,1.375
18,flexaggrod,0,2.7990000000000004,0.0,-1.375
18,flexaggrod,0,1.799,0.0,0.0
19,flexaggrod,0,2.769,0.0,0.0
19,flexaggrod,0,3.12,0.0,0.0
19,flexaggrod,0,2.7390000000000003,0.0,0.0
19,flexaggrod,0,3.254,0.0,0.0
20,flexaggrod,0,4.06,0.0,-1.3125
20,flexaggrod,0,2.284,0.0,-1.3125
20,flexaggrod,0,4.06,0.0,-1.3125
20,flexaggrod,1,4.06,0.0,3.9375
21,flexaggrod,0,3.12,0.0,0.0
21,flexaggrod,0,2.284,0.0,0.0
21,flexaggrod,0,2.254,0.0,0.0
21,flexaggrod,0,3.769,0.0,0.0
22,flexaggrod,0,5.06,0.0,-2.5625
22,flexaggrod,0,3.254,0.0,-2.5625
22,flexaggrod,1,2.7390000000000003,0.0,7.5
22,flexaggrod,0,3.254,0.0,-2.5625
23,flexaggrod,0,3.06,0.0,0.0
23,flexaggrod,0,2.7990000000000004,0.0,0.0
23,flexaggrod,0,2.769,0.0,-2.6875
23,flexaggrod,1,1.7690000000000001,0.0,2.6875
24,flexaggrod,0,2.7990000000000004,0.0,-1.25
24,flexaggrod,1,3.254,0.0,3.75
24,flexaggrod,0,3.769,0.0,-1.25
24,flexaggrod,0,3.769,0.0,-1.25
25,flexaggrod,1,3.254,0.0,2.8125
25,flexaggrod,0,1.829,0.0,-2.8125
25,flexaggrod,0,3.769,0.0,0.0
25,flexaggrod,0,3.0900000000000003,0.0,0.0
26,flexaggrod,0,3.254,0.0,-1.375
26,flexaggrod,0,3.254,0.0,-1.375
26,flexaggrod,1,3.12,0.0,4.125
26,flexaggrod,0,5.06,0.0,-1.375
27,flexaggrod,1,3.254,0.0,1.375
27,flexaggrod,0,3.254,0.0,0.0
27,flexaggrod,0,3.769,0.0,-1.375
