episode_id,seat,policy_tag,win,opening_shape
0,0,flexaggrod,1,3.254
0,1,flexaggrod,0,2.254
0,2,flexaggrod,0,4.06
0,3,flexaggrod,0,3.769
1,0,flexaggrod,1,2.2239999999999998
1,1,flexaggrod,0,4.03
1,2,flexaggrod,0,3.254
1,3,flexaggrod,0,2.769
2,0,flexaggrod,0,3.254
2,1,flexaggrod,0,2.7990000000000004
2,2,flexaggrod,1,2.769
2,3,flexaggrod,0,3.254
3,0,flexaggrod,1,4.09
3,1,flexaggrod,0,3.06
3,2,flexaggrod,0,2.254
3,3,flexaggrod,0,1.739
4,0,flexaggrod,1,3.254
4,1,flexaggrod,0,5.06
4,2,flexaggrod,0,3.769
4,3,flexaggrod,0,2.7390000000000003
5,0,flexaggrod,0,2.284
5,1,flexaggrod,0,2.7390000000000003
5,2,flexaggrod,0,3.769
5,3,flexaggrod,0,4.06
6,0,flexaggrod,0,2.7390000000000003
6,1,flexaggrod,0,2.7390000000000003
6,2,flexaggrod,0,3.12
6,3,flexaggrod,1,2.7390000000000003
7,0,flexaggrod,0,3.769
7,1,flexaggrod,0,3.769
7,2,flexaggrod,0,3.254
7,3,flexaggrod,0,2.7990000000000004
8,0,flexaggrod,0,3.769
8,1,flexaggrod,0,2.7990000000000004
8,2,flexaggrod,0,3.254
8,3,flexaggrod,1,3.769
9,0,flexaggrod,0,5.06
9,1,flexaggrod,0,3.254
9,2,flexaggrod,0,1.7690000000000001
9,3,flexaggrod,1,2.7990000000000004
10,0,flexaggrod,1,2.7990000000000004
10,1,flexaggrod,0,2.254
10,2,flexaggrod,0,3.254
10,3,flexaggrod,0,2.7990000000000004
11,0,flexaggrod,0,2.7390000000000003
11,1,flexaggrod,1,3.0900000000000003
11,2,flexaggrod,0,2.7390000000000003
11,3,flexaggrod,0,2.769
12,0,flexaggrod,0,2.284
12,1,flexaggrod,0,3.254
12,2,flexaggrod,0,5.06
12,3,flexaggrod,1,2.769
13,0,flexaggrod,0,2.7990000000000004
13,1,flexaggrod,0,1.799
13,2,flexaggrod,0,3.254
13,3,flexaggrod,1,3.769
14,0,flexaggrod,0,3.769
14,1,flexaggrod,1,3.769
14,2,flexaggrod,0,5.06
14,3,flexaggrod,0,3.769
15,0,flexaggrod,0,3.769
15,1,flexaggrod,1,4.09
15,2,flexaggrod,0,2.2239999999999998
15,3,flexaggrod,0,3.254
16,0,flexaggrod,1,1.7690000000000001
16,1,flexaggrod,0,3.769
16,2,flexaggrod,0,5.06
16,3,flexaggrod,0,2.769
17,0,flexaggrod,0,3.0900000000000003
